BGE Tensors Count: 197
blk.6.layer_output_norm.weight | Float32 | dims=[384]
blk.7.attn_k.bias | Float32 | dims=[384]
blk.7.attn_k.weight | Q8_0 | dims=[384,384]
blk.7.attn_output.bias | Float32 | dims=[384]
blk.7.attn_output.weight | Q8_0 | dims=[384,384]
blk.7.attn_output_norm.bias | Float32 | dims=[384]
blk.7.attn_output_norm.weight | Float32 | dims=[384]
blk.7.attn_q.bias | Float32 | dims=[384]
blk.7.attn_q.weight | Q8_0 | dims=[384,384]
blk.7.attn_v.bias | Float32 | dims=[384]
blk.7.attn_v.weight | Q8_0 | dims=[384,384]
blk.7.ffn_down.bias | Float32 | dims=[384]
blk.7.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.7.ffn_up.bias | Float32 | dims=[1536]
blk.7.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.7.layer_output_norm.bias | Float32 | dims=[384]
blk.7.layer_output_norm.weight | Float32 | dims=[384]
blk.8.attn_k.bias | Float32 | dims=[384]
blk.8.attn_k.weight | Q8_0 | dims=[384,384]
blk.8.attn_output.bias | Float32 | dims=[384]
blk.8.attn_output.weight | Q8_0 | dims=[384,384]
blk.8.attn_output_norm.bias | Float32 | dims=[384]
blk.8.attn_output_norm.weight | Float32 | dims=[384]
blk.8.attn_q.bias | Float32 | dims=[384]
blk.8.attn_q.weight | Q8_0 | dims=[384,384]
blk.8.attn_v.bias | Float32 | dims=[384]
blk.8.attn_v.weight | Q8_0 | dims=[384,384]
blk.8.ffn_down.bias | Float32 | dims=[384]
blk.8.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.8.ffn_up.bias | Float32 | dims=[1536]
blk.8.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.8.layer_output_norm.bias | Float32 | dims=[384]
blk.8.layer_output_norm.weight | Float32 | dims=[384]
blk.9.attn_k.bias | Float32 | dims=[384]
blk.9.attn_k.weight | Q8_0 | dims=[384,384]
blk.9.attn_output.bias | Float32 | dims=[384]
blk.9.attn_output.weight | Q8_0 | dims=[384,384]
blk.9.attn_output_norm.bias | Float32 | dims=[384]
blk.9.attn_output_norm.weight | Float32 | dims=[384]
blk.9.attn_q.bias | Float32 | dims=[384]
blk.9.attn_q.weight | Q8_0 | dims=[384,384]
blk.9.attn_v.bias | Float32 | dims=[384]
blk.9.attn_v.weight | Q8_0 | dims=[384,384]
blk.9.ffn_down.bias | Float32 | dims=[384]
blk.9.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.9.ffn_up.bias | Float32 | dims=[1536]
blk.9.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.9.layer_output_norm.bias | Float32 | dims=[384]
blk.9.layer_output_norm.weight | Float32 | dims=[384]
blk.10.attn_k.bias | Float32 | dims=[384]
blk.10.attn_k.weight | Q8_0 | dims=[384,384]
blk.10.attn_output.bias | Float32 | dims=[384]
blk.10.attn_output.weight | Q8_0 | dims=[384,384]
blk.10.attn_output_norm.bias | Float32 | dims=[384]
blk.10.attn_output_norm.weight | Float32 | dims=[384]
blk.10.attn_q.bias | Float32 | dims=[384]
blk.10.attn_q.weight | Q8_0 | dims=[384,384]
blk.10.attn_v.bias | Float32 | dims=[384]
blk.10.attn_v.weight | Q8_0 | dims=[384,384]
blk.10.ffn_down.bias | Float32 | dims=[384]
blk.10.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.10.ffn_up.bias | Float32 | dims=[1536]
blk.10.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.10.layer_output_norm.bias | Float32 | dims=[384]
blk.10.layer_output_norm.weight | Float32 | dims=[384]
blk.11.attn_k.bias | Float32 | dims=[384]
blk.11.attn_k.weight | Q8_0 | dims=[384,384]
blk.11.attn_output.bias | Float32 | dims=[384]
blk.11.attn_output.weight | Q8_0 | dims=[384,384]
blk.11.attn_output_norm.bias | Float32 | dims=[384]
blk.11.attn_output_norm.weight | Float32 | dims=[384]
blk.11.attn_q.bias | Float32 | dims=[384]
blk.11.attn_q.weight | Q8_0 | dims=[384,384]
blk.11.attn_v.bias | Float32 | dims=[384]
blk.11.attn_v.weight | Q8_0 | dims=[384,384]
blk.11.ffn_down.bias | Float32 | dims=[384]
blk.11.ffn_down.weight | Q8_0 | dims=[1536,384]
blk.11.ffn_up.bias | Float32 | dims=[1536]
blk.11.ffn_up.weight | Q8_0 | dims=[384,1536]
blk.11.layer_output_norm.bias | Float32 | dims=[384]
blk.11.layer_output_norm.weight | Float32 | dims=[384]
